StudentID,StudentName,EnrolledCourses
S003,Zainab Malik,CS129;CS113;CS100
S004,Fatima Siddiqui,CS104;CS101;CS118
S005,Usman Khan,CS114;CS118;CS114;CS128;CS119
S006,Ahmed Sheikh,CS123;CS129;CS127;CS114;CS104
S007,Usman Malik,CS104;CS120;CS125
S008,Hassan Khan,CS104;CS126
S009,Ali Tariq,CS122;CS128;CS114
S010,Hassan Tariq,CS125;CS115;CS124;CS111
S011,Ali Sheikh,CS100;CS107;CS103
S012,Umar Siddiqui,CS118;CS100;CS129;CS106;CS120
S013,Hassan Qureshi,CS122;CS117;CS114;CS128
S014,Hassan Malik,CS114;CS104;CS125;CS110;CS104
S015,Fatima Sheikh,CS101;CS124
S016,Usman Tariq,CS129;CS108;CS102;CS113
S017,Ali Raza,CS113;CS122;CS111
S018,Ahmed Malik,CS129;CS105
S019,Umar Malik,CS120;CS126;CS121;CS106;CS123
S020,Fatima Tariq,CS113;CS123;CS104
S021,Ali Malik,CS129;CS122
S022,Usman Sheikh,CS117;CS119;CS111
S023,Zainab Qureshi,CS107;CS114
S024,Umar Malik,CS104;CS118
S025,Hassan Siddiqui,CS127;CS117;CS110
S026,Umar Khan,CS127;CS108;CS115;CS111
S027,Usman Sheikh,CS105;CS114;CS111;CS124
S028,Hassan Siddiqui,CS105;CS121
S029,Umar Sheikh,CS109;CS121;CS120
S030,Ali Khan,CS113;CS127;CS126
S001,Ahmed Sheikh,CS105;CS119;CS104;CS127;CS113
S002,Zainab Raza,CS106;CS126;CS116
S003,Ahmed Raza,CS125;CS104
S004,Umar Malik,CS124;CS112;CS105;CS122;CS100
S005,Ahmed Khan,CS115;CS125;CS108;CS107;CS126
S006,Zainab Tariq,CS103;CS112;CS126
S007,Fatima Malik,CS118;CS111;CS124
S008,Fatima Tariq,CS115;CS100;CS104;CS103
S009,Zainab Raza,CS126;CS100;CS119;CS102
S010,Ahmed Sheikh,CS124;CS113;CS115;CS123
S011,Ali Qureshi,CS122;CS118;CS120;CS104
S012,Ali Siddiqui,CS117;CS108;CS107
S013,Ahmed Raza,CS110;CS109;CS108;CS103
S014,Usman Siddiqui,CS129;CS119;CS129;CS117;CS108
S015,Ayesha Khan,CS119;CS106;CS112;CS113
S016,Zainab Siddiqui,CS113;CS108;CS128
S017,Umar Sheikh,CS123;CS114
S018,Zainab Qureshi,CS123;CS121;CS107
S019,Hassan Sheikh,CS127;CS128
S020,Zainab Malik,CS106;CS117;CS118;CS109
S021,Ali Sheikh,CS107;CS128
S022,Umar Raza,CS111;CS108;CS106
S023,Umar Khan,CS112;CS128
S024,Zainab Siddiqui,CS101;CS110
S025,Usman Qureshi,CS115;CS105;CS100;CS124
S026,Fatima Siddiqui,CS127;CS100;CS117;CS101
S027,Ahmed Raza,CS115;CS127;CS108;CS127
S028,Zainab Tariq,CS100;CS108;CS128
S029,Fatima Malik,CS126;CS102
S030,Hassan Malik,CS100;CS110;CS118;CS107
S001,Umar Sheikh,CS127;CS102
S002,Fatima Siddiqui,CS122;CS113
S003,Fatima Raza,CS123;CS118;CS110
S004,Ali Malik,CS107;CS108;CS110;CS103;CS122
S005,Umar Sheikh,CS117;CS128
S006,Usman Siddiqui,CS123;CS106;CS128;CS118
S007,Ahmed Khan,CS114;CS117;CS100;CS104
S008,Usman Sheikh,CS103;CS115
S009,Usman Sheikh,CS104;CS107;CS110;CS127
S010,Usman Raza,CS114;CS103;CS119;CS111
S011,Ali Raza,CS125;CS111;CS108;CS128
S012,Fatima Sheikh,CS124;CS114;CS115
S013,Ayesha Raza,CS111;CS122;CS120;CS119;CS102
S014,Fatima Siddiqui,CS110;CS122;CS100
S015,Umar Raza,CS115;CS104;CS108;CS119
S016,Usman Tariq,CS104;CS117
S017,Umar Siddiqui,CS112;CS105
S018,Ayesha Malik,CS118;CS126;CS111;CS123;CS120
S019,Hassan Tariq,CS126;CS114
S020,Ayesha Tariq,CS101;CS115;CS126;CS106;CS126
S021,Ali Qureshi,CS100;CS110
S022,Ahmed Siddiqui,CS107;CS120;CS105;CS109;CS111
S023,Ahmed Raza,CS111;CS122;CS117;CS114;CS110
S024,Usman Siddiqui,CS129;CS102;CS124
S025,Usman Khan,CS125;CS104
S026,Ahmed Sheikh,CS119;CS126;CS127;CS107;CS107
S027,Ahmed Qureshi,CS113;CS116
S028,Ahmed Raza,CS101;CS114;CS110;CS117;CS126
S029,Ali Tariq,CS108;CS127;CS115;CS115
S030,Ahmed Tariq,CS123;CS118;CS112
